f1,f2,f3,f4,f5,f6,f7,f8,f9,resp
  0.23026502,  0.19818266,  0.19832762,  0.25996133,  0.28377730,  0.17335604,  0.21466741,  0.23382553,  0.31649686, -0.00207942
  0.36315409,  0.27778850,  0.31994471,  0.33420148,  0.54733129,  0.27062537,  0.27816760,  0.37016472,  0.45715519, -0.00485975
  0.17524104,  0.15592429,  0.16967051,  0.17365350,  0.20807883,  0.15483958,  0.16463567,  0.18163034,  0.20123984, -0.00110900
  0.16181929,  0.14537618,  0.14720248,  0.15255428,  0.15622845,  0.13485555,  0.13727835,  0.14131034,  0.15052153,  0.00077758
  0.16092067,  0.14382415,  0.15933467,  0.16167414,  0.18817816,  0.14377777,  0.16239653,  0.16430465,  0.18864401, -0.00035597
  0.28704363,  0.23524463,  0.23673895,  0.27180235,  0.36275243,  0.20257944,  0.22030600,  0.29137190,  0.32014301, -0.00391099
  0.17338811,  0.16203156,  0.17248201,  0.19479083,  0.20444254,  0.16107905,  0.17734707,  0.19984855,  0.23519390, -0.00007813
  0.37177541,  0.29718106,  0.32381459,  0.33165351,  0.57729254,  0.27823865,  0.28813661,  0.40798658,  0.46338516, -0.00477733
  0.28706612,  0.22568014,  0.29780775,  0.30657975,  0.31207363,  0.23243122,  0.23853511,  0.30901012,  0.31734043, -0.00418102
  0.36392035,  0.28467044,  0.32160659,  0.34109832,  0.55429945,  0.25962555,  0.28436073,  0.38947377,  0.48311443, -0.00628829
  0.24371258,  0.20769519,  0.21317312,  0.22162438,  0.26718208,  0.18788894,  0.20248018,  0.22341865,  0.23106337,  0.00004612
  0.13145496,  0.11824189,  0.12291943,  0.13761577,  0.14880326,  0.11087878,  0.12871270,  0.13170476,  0.15596733, -0.00018395
  0.16435434,  0.15176517,  0.16681989,  0.18631991,  0.18701261,  0.15210574,  0.16971889,  0.18645265,  0.21871367,  0.00010234
  0.20715123,  0.17493481,  0.18353042,  0.20004041,  0.25281158,  0.15909193,  0.17588958,  0.20749299,  0.23933242, -0.00140404
  0.31780001,  0.26302860,  0.27109631,  0.27464960,  0.45263697,  0.22900269,  0.25151285,  0.34347029,  0.36569249, -0.00590799
  0.20950644,  0.17660983,  0.19841581,  0.22891687,  0.24570320,  0.16846146,  0.20013413,  0.20842652,  0.26944395, -0.00126281
  0.37460283,  0.30090464,  0.31147660,  0.33700614,  0.58382774,  0.26560164,  0.29331569,  0.42296246,  0.42673513, -0.00591316
  0.32434550,  0.26972608,  0.30061084,  0.30802497,  0.46165366,  0.26327006,  0.30591480,  0.35541301,  0.39315270, -0.00626740
  0.12598525,  0.11527977,  0.11568582,  0.12725376,  0.12885389,  0.10699883,  0.11695738,  0.11739330,  0.13161781,  0.00025048
  0.14240651,  0.13224113,  0.14642309,  0.15046289,  0.16082075,  0.13763037,  0.14660992,  0.15401832,  0.17098340, -0.00013854
  0.20027979,  0.16859858,  0.17412144,  0.20825112,  0.21534728,  0.14953899,  0.17391093,  0.18461122,  0.21626588, -0.00088348
  0.27080287,  0.24449513,  0.29967800,  0.30239509,  0.31787547,  0.26286860,  0.26313421,  0.33646968,  0.38267859, -0.00038177
  0.22486509,  0.18518392,  0.19864978,  0.23080227,  0.27379902,  0.16757638,  0.19790768,  0.21721583,  0.27321792, -0.00213353
  0.25825999,  0.21370206,  0.23883089,  0.24805955,  0.30738398,  0.20024245,  0.20326170,  0.26983795,  0.28448952, -0.00287580
  0.09857552,  0.09092179,  0.09263792,  0.10123563,  0.10212694,  0.08565296,  0.09329032,  0.09576972,  0.10587596,  0.00010377
  0.11575772,  0.10581087,  0.12251949,  0.12366033,  0.12416001,  0.11118300,  0.11286934,  0.13199966,  0.13219697, -0.00007950
  0.13554803,  0.12024531,  0.12208483,  0.13917309,  0.14072926,  0.10942793,  0.12450945,  0.12479144,  0.14222119, -0.00016371
  0.36500000,  0.29171137,  0.29715218,  0.33438453,  0.53401916,  0.24065941,  0.27754125,  0.38041241,  0.44139899, -0.00661831
  0.13351850,  0.12338620,  0.12470137,  0.13190592,  0.14867740,  0.11593745,  0.12082142,  0.13679993,  0.14606372, -0.00034056
  0.15865343,  0.14529330,  0.14879635,  0.15068070,  0.16585118,  0.13678803,  0.13775803,  0.15236451,  0.15765518, -0.00012929
  0.36960310,  0.29621467,  0.30832204,  0.37863313,  0.54066679,  0.26420100,  0.29628102,  0.38618672,  0.49794399, -0.00581983
  0.33595084,  0.26314875,  0.29002085,  0.33513109,  0.48343603,  0.23957335,  0.27355201,  0.34199083,  0.44994862, -0.00670759
  0.11807132,  0.10979561,  0.12499366,  0.12592251,  0.12656717,  0.11566886,  0.11796916,  0.13339868,  0.13505069, -0.00001277
