f1,f2,f3,resp
  1.00463337,  1.04645091,  0.71369284,  3.74114685
  1.03281352,  1.06495819,  0.67408384,  0.66026717
  1.03865349,  1.04623085,  0.70387787,  1.84612125
  1.02954379,  1.04994152,  0.62734352,  0.69954615
  1.03582290,  1.05615580,  0.63677882,  0.49035869
  1.03750368,  1.05433516,  0.67699857,  0.52891246
  1.01956754,  1.03295221,  0.67430065,  0.82179225
  0.99117163,  1.04095535,  0.62516997,  1.33054919
  1.00123452,  1.02785909,  0.64886105,  0.79653426
  1.04528378,  1.04873030,  0.65042131,  0.11373067
  1.02819517,  1.05783166,  0.62455813,  1.08817861
  1.02858224,  1.02914963,  0.63801104,  0.14459062
  1.03120637,  1.03981882,  0.60867162,  1.81418267
  1.03267273,  1.03741435,  0.65319901,  0.02182683
  1.04879630,  1.06304833,  0.65532045,  0.41286961
  1.04577897,  1.05033632,  0.65296272,  0.12270788
  1.02222313,  1.04462644,  0.63535227,  0.31756932
  0.99054426,  1.04525756,  0.63180414,  1.25697288
  1.01103034,  1.03689479,  0.63422762,  0.45575659
  1.03602787,  1.05432849,  0.65294183,  0.14825239
  1.01535419,  1.04284312,  0.71284780,  3.19264311
  0.99106358,  1.05087165,  0.63997297,  1.22829264
  1.01011836,  1.02115423,  0.69971074,  2.94392415
  1.01759835,  1.03633172,  0.65037520,  0.22556608
  1.05214759,  1.05567526,  0.65151631,  0.32025098
  1.03485067,  1.04097268,  0.67664492,  0.51817679
  1.01575848,  1.03534138,  0.65317128,  0.30413818
  1.01132686,  1.02545592,  0.62919833,  0.56748205
  1.02711691,  1.03735301,  0.67013439,  0.43365333
  1.00078662,  1.07243666,  0.64559155,  1.38429797
  1.02032175,  1.02945158,  0.59528983,  2.88748448
  0.97973036,  1.04688364,  0.61929590,  2.13336048
  1.02027803,  1.02292267,  0.61118194,  1.29559712
  1.02750529,  1.02968478,  0.64631465,  0.08295807
  1.02980885,  1.05822457,  0.65658933,  0.26207938
  1.02153394,  1.04188698,  0.63554003,  0.28700260
  1.01277617,  1.03535639,  0.63860549,  0.34882811
  1.01885285,  1.02563682,  0.61148354,  1.28562695
  1.03375093,  1.04607325,  0.65325960,  0.04533809
  0.97040460,  1.06361820,  0.62578575,  2.89587189
  1.00763180,  1.04415851,  0.65864004,  0.64246580
  0.99585624,  1.03928497,  0.63844852,  0.90797785
  1.01468760,  1.03484638,  0.67156957,  0.83803921
  0.99661847,  1.03346355,  0.63706197,  0.87859411
  1.01827705,  1.04445296,  0.65101581,  0.22892959
  0.99605364,  1.02385479,  0.63751725,  0.97645420
  1.02099576,  1.05179015,  0.63416688,  0.49312023
  1.01502439,  1.03261195,  0.65252940,  0.33266869
  1.02996795,  1.05844523,  0.65831788,  0.27520367
  0.97618690,  1.01413810,  0.60811419,  2.65767092
  1.01507591,  1.03132548,  0.59876439,  2.48247970
  0.99750026,  1.03323504,  0.61379517,  1.51124091
  1.01039698,  1.06864551,  0.62657388,  1.50986616
  0.99096144,  1.03658954,  0.63863159,  1.12107357
  1.01096901,  1.04200966,  0.65252983,  0.42233332
  0.97917491,  1.04206830,  0.64145945,  1.78600043
  1.01446423,  1.05652180,  0.65465077,  0.49504750
  1.04082100,  1.04861813,  0.63595998,  0.38461922
  1.03106815,  1.07107206,  0.65343419,  0.62688538
  0.97809364,  0.98803783,  0.62510783,  3.01845584
  1.01497803,  1.01985037,  0.68272528,  1.69091870
  0.97487551,  1.06757425,  0.62593577,  2.77589173
  0.99764257,  1.05842618,  0.68266608,  2.08516949
  0.99277754,  1.03750476,  0.64381261,  1.05029639
  1.02485268,  1.02554636,  0.63627843,  0.22284238
  0.97983308,  1.02057791,  0.64058380,  1.89923926
  0.99161490,  1.04973321,  0.63391402,  1.24374518
  1.02826812,  1.06058260,  0.66890303,  0.50343202
  1.03604075,  1.04426427,  0.63236268,  0.39422374
  0.98946516,  0.99308318,  0.59802353,  3.09998269
  0.99034905,  1.03993669,  0.61082579,  1.99022260
  0.97307312,  1.08178161,  0.63879763,  3.26261551
  1.00659623,  1.05112239,  0.64758409,  0.60327347
  1.00406344,  1.03282525,  0.63087940,  0.69300067
  1.01109168,  1.04053942,  0.62385600,  0.80250269
  0.99385598,  1.03999401,  0.63773680,  0.99984943
  0.98287440,  1.03167021,  0.64541321,  1.62843631
  1.02609777,  1.06988946,  0.64115716,  0.81972310
  1.02163830,  1.04555264,  0.63923537,  0.25178033
  0.98094225,  0.99125613,  0.63595189,  2.78613770
  0.97896306,  1.04806752,  0.67612064,  2.88934938
  0.96063694,  1.04831693,  0.63601013,  3.11230991
  1.00698242,  1.02444112,  0.68775886,  2.18484822
  0.99271053,  1.00898908,  0.63801796,  1.45658330
  1.00725222,  1.05708357,  0.64443993,  0.69966733
  0.99653803,  1.00894124,  0.62407403,  1.35797623
  0.99167096,  1.01747514,  0.61928478,  1.50199902
  1.02340633,  1.05386627,  0.65792547,  0.28374909
  1.02267056,  1.04673132,  0.63036321,  0.50600274
  0.99444305,  1.05867830,  0.63265273,  1.35684922
  1.01073808,  1.06442088,  0.62819318,  1.24825414
  0.96153107,  1.00411385,  0.59018255,  4.66265059
  1.01536346,  1.02570625,  0.62911243,  0.49221869
  1.00032310,  1.00560727,  0.62306538,  1.33157573
  0.98874120,  1.06127370,  0.62265803,  1.99597724
  1.01118267,  1.01437367,  0.63871970,  0.62745811
  0.97908767,  0.99575906,  0.62637803,  2.60791027
  1.01274745,  1.04088058,  0.61029681,  1.60631109
  1.01880407,  1.04304762,  0.67746960,  0.88428022
  0.99506547,  1.07655142,  0.67321208,  2.22350573
  1.01472158,  1.04805434,  0.68763589,  1.50472617
  0.96169196,  0.98341374,  0.60943577,  4.44758035
  1.00061438,  1.00748156,  0.66373385,  1.80971581
  1.00163567,  1.02208208,  0.66139360,  1.20203867
  0.99496547,  1.05250417,  0.66449377,  1.41135942
  0.99796017,  1.03271646,  0.61953147,  1.21935503
  0.96884955,  0.99131018,  0.60389427,  3.79632698
  1.02403513,  1.02582725,  0.64604992,  0.16493447
  1.03421600,  1.04374764,  0.63494079,  0.28328166
  0.99968410,  1.08031960,  0.62133606,  2.63725805
  1.02021869,  1.04031101,  0.61917856,  0.94452322
  0.96829043,  0.99831086,  0.60369813,  3.60750299
  0.98507513,  1.02036964,  0.62449884,  1.63266609
  1.01192861,  1.02220641,  0.62622505,  0.65667016
  1.00149323,  1.03632420,  0.63604209,  0.70186813
  0.99772817,  1.03095228,  0.64631883,  0.87770562
  0.96174283,  0.98503146,  0.61183335,  4.32621716
  1.00227918,  1.03088745,  0.61663724,  1.22304478
  1.05240891,  1.05862563,  0.68277189,  0.75649956
  1.02140768,  1.03934222,  0.65859059,  0.24164926
  1.01614037,  1.02928099,  0.65701252,  0.41716397
  0.98713760,  1.00823222,  0.64410330,  1.85908602
  0.99916071,  1.00961864,  0.65086327,  1.35791824
  1.00817123,  1.03253199,  0.65699483,  0.63104445
  1.00163166,  1.00590061,  0.64060268,  1.19595535
  1.01625190,  1.02434877,  0.61341264,  1.16584703
  0.96467923,  0.98397014,  0.59454517,  4.75391619
  1.00203112,  1.03421814,  0.65556017,  0.82335883
  1.05810812,  1.07268054,  0.66116140,  0.85583242
  1.01646056,  1.02958195,  0.59406941,  3.00291194
  1.03334821,  1.03507132,  0.64142694,  0.06648050
  0.99954421,  1.04160591,  0.62882878,  0.93147812
  1.00393442,  1.04357118,  0.62788947,  0.85241030
  1.01555010,  1.02727413,  0.63929667,  0.31430476
  0.98987849,  1.01546863,  0.61517489,  1.73614070
  1.01816094,  1.03265780,  0.66502317,  0.52756614
  0.97749895,  0.98092397,  0.62132834,  3.43055757
  1.02845213,  1.05489461,  0.65847697,  0.22895990
  1.04522916,  1.06571406,  0.66431323,  0.45642815
  1.00154639,  1.04139005,  0.66071233,  0.93886955
  1.04047121,  1.04259740,  0.64663478,  0.04915441
  1.00276563,  1.10445493,  0.65697238,  3.05024626
  1.00920801,  1.04403314,  0.65463748,  0.51331259
  1.02112608,  1.04473449,  0.64264089,  0.20040240
  1.01090054,  1.01453113,  0.63206690,  0.67201552
  1.02171032,  1.06352318,  0.64511384,  0.54958638
  0.97800659,  0.98261267,  0.60595374,  3.57984164
  1.02920683,  1.05061661,  0.68390191,  0.89973320
  1.03342190,  1.03977557,  0.63714518,  0.17275310
  1.01458157,  1.02985869,  0.60008341,  2.31474390
  1.03747247,  1.05089705,  0.65582285,  0.09273347
  1.00486253,  1.10512990,  0.67343106,  3.21253396
  1.02188259,  1.05226495,  0.64590596,  0.26367778
  1.01285003,  1.04373130,  0.65313843,  0.37939495
  1.00183336,  1.04675323,  0.62380230,  1.11075531
  1.01828950,  1.07766982,  0.67003695,  1.22657992
  0.99252529,  1.00128465,  0.61641640,  1.89403771
  1.02725408,  1.07036471,  0.66124228,  0.64783879
  1.00603318,  1.03972476,  0.65126003,  0.56812544
  1.00721772,  1.03881318,  0.69309147,  2.21286951
  1.03649391,  1.04297908,  0.64790842,  0.02843155
  1.02395649,  1.05441854,  0.65713816,  0.27457918
  1.02019684,  1.05542122,  0.65317938,  0.33377304
  1.03269299,  1.05509606,  0.65815843,  0.18788536
  0.99481206,  1.06656655,  0.63941113,  1.46556566
  1.04462972,  1.06614241,  0.65844272,  0.44667885
  1.00627108,  1.02849867,  0.62433041,  0.80688351
  1.02475921,  1.06645736,  0.63747824,  0.80384556
  0.99889622,  1.05372746,  0.62308945,  1.38975642
  1.00189759,  1.07862182,  0.61962245,  2.60134810
  1.03542071,  1.03905388,  0.62734273,  0.53075245
  1.00011201,  1.03789995,  0.63922475,  0.73165579
  1.02291535,  1.04786654,  0.65313757,  0.17874531
  1.01021428,  1.06029697,  0.66608318,  0.89524262
  0.99161884,  1.04923207,  0.62219933,  1.55464577
  1.05762244,  1.06063659,  0.69313135,  1.23830216
  0.99899601,  1.06427361,  0.63705142,  1.26682063
  1.04860054,  1.04984452,  0.64217002,  0.32678786
  1.00988067,  1.03777070,  0.66237053,  0.66556133
  0.99837963,  1.05850237,  0.67432884,  1.66135430
  1.04429372,  1.05323248,  0.65154432,  0.16633663
  0.98036140,  1.06755601,  0.64001024,  2.20664023
  1.03525456,  1.04345794,  0.64985619,  0.02241851
  1.03219840,  1.03876246,  0.63810712,  0.14151922
  1.00595526,  1.02954697,  0.66133586,  0.87057342
  1.03656805,  1.09331319,  0.67251124,  1.70223563
  1.02773022,  1.08717750,  0.64623654,  1.53458637
  1.01976509,  1.05997329,  0.63511097,  0.69671615
  1.02294779,  1.03041157,  0.63294985,  0.28272054
  1.00925079,  1.02837492,  0.58680384,  3.90041773
  1.04226271,  1.05486011,  0.65743453,  0.16393924
  0.97996462,  1.06691817,  0.65248725,  2.27343812
  1.03068557,  1.05019402,  0.66006121,  0.15902189
  1.01644300,  1.03380758,  0.67293800,  0.84872061
  1.00649795,  1.02180219,  0.62792574,  0.74178548
  1.00379132,  1.07399388,  0.68147837,  2.02929251
  1.02409071,  1.07803926,  0.66073241,  0.97806107
  1.01199825,  1.04351129,  0.63219757,  0.53749534
  1.02189304,  1.03132973,  0.64931059,  0.15764168
  0.99834275,  0.99856606,  0.63815395,  1.58305749
  1.04582600,  1.05036831,  0.64118429,  0.31881003
  1.00751099,  1.04069860,  0.63629503,  0.53201700
  1.02493671,  1.05216309,  0.65640702,  0.21905436
  1.00886388,  1.05087938,  0.64416636,  0.53464401
  0.99838561,  1.01446320,  0.63016102,  1.07903429
  0.99244255,  1.05780928,  0.63208848,  1.42532626
  1.04850269,  1.05024697,  0.65319858,  0.15010398
  1.01870028,  1.05502593,  0.65887221,  0.41069862
  1.02532239,  1.02668245,  0.63488919,  0.23496798
  0.99530911,  0.99784466,  0.58780585,  3.71571610
  1.03106815,  1.04291491,  0.66670134,  0.24605218
  1.02516787,  1.05042348,  0.65752834,  0.20496916
  1.03223036,  1.07071196,  0.66462671,  0.63604827
  0.99529920,  1.03706469,  0.66399211,  1.36626185
  1.00974199,  1.01271156,  0.60779152,  1.63228463
  1.00331193,  1.02625678,  0.64201500,  0.67041104
  1.01372482,  1.07426271,  0.64928825,  1.03839072
  1.02907338,  1.04802578,  0.67922232,  0.69537724
  1.01760042,  1.01992526,  0.65489171,  0.50403562
  0.98278360,  1.01199723,  0.65099335,  2.16914487
  1.03584758,  1.03737453,  0.64788659,  0.00576028
  0.99804682,  1.09239117,  0.64508638,  2.50957629
  1.03173727,  1.06110591,  0.65233700,  0.31518328
  1.00803911,  1.02711480,  0.63588759,  0.52688109
  1.02781789,  1.03442783,  0.63995822,  0.10803998
  1.00589353,  1.03089383,  0.61370778,  1.30599100
  0.99442229,  1.06889681,  0.64425020,  1.51703300
  1.03275485,  1.03822430,  0.65677994,  0.05101228
  1.01764080,  1.02667086,  0.63582128,  0.31505043
  0.99346400,  1.04422175,  0.63601498,  1.06128382
  1.03893945,  1.04142692,  0.65385375,  0.00893974
  0.98951999,  1.09627606,  0.66001591,  3.13217716
  1.04893821,  1.05617700,  0.65856760,  0.24001805
  1.00059535,  1.02381601,  0.65578759,  1.03753242
  1.02306709,  1.04136944,  0.62795926,  0.51038790
  1.00073454,  1.04756248,  0.66610226,  1.14584053
  0.99129642,  1.08050520,  0.64703561,  2.12624058
  1.02650223,  1.04695707,  0.66854528,  0.37400189
  1.01551813,  1.03798075,  0.66041692,  0.43205011
  0.98504019,  1.06759818,  0.66936779,  2.41450861
  1.02987566,  1.03925905,  0.64981523,  0.03147359
  0.99594154,  1.06023177,  0.63761481,  1.24680648
  1.03735516,  1.06510905,  0.64374588,  0.56713492
  0.98965318,  0.99753211,  0.62466932,  1.99103291
  1.02879282,  1.05215202,  0.65116164,  0.15315242
  0.99834773,  1.05823465,  0.62066620,  1.66365230
  1.00545863,  1.05593276,  0.62790760,  1.07933826
  1.02243216,  1.04346665,  0.62607332,  0.62754690
  1.02999023,  1.05446079,  0.64622026,  0.22205780
  0.98133019,  1.07290381,  0.63015030,  2.53112796
  1.02522568,  1.03323290,  0.66965646,  0.49832962
  0.99705868,  1.00437203,  0.64345344,  1.48268743
  1.03089276,  1.04891071,  0.66668000,  0.26584174
  0.98024128,  1.00782780,  0.68878208,  4.51166898
  1.02642321,  1.06967316,  0.64837640,  0.66077608
  0.99763063,  1.04341003,  0.67143971,  1.49971614
  0.99810659,  1.03103838,  0.64073731,  0.82319329
  1.01646470,  1.04458279,  0.66693388,  0.56533917
  1.02638002,  1.04561714,  0.63533128,  0.30195589
  0.97995982,  1.04512538,  0.63878131,  1.74818278
  1.03822323,  1.04296603,  0.64584380,  0.05122990
  0.96764580,  1.01236195,  0.62945536,  2.80047001
  1.02404876,  1.03630165,  0.62797188,  0.44938900
  1.00100401,  1.02034465,  0.62781339,  0.92307327
  1.02042586,  1.06625495,  0.66271248,  0.66562227
  1.01543151,  1.05006720,  0.61916438,  1.19326164
  0.96941966,  1.04147356,  0.62631762,  2.45955792
  1.00715280,  1.04542912,  0.62019273,  1.13055510
  1.02603460,  1.03895996,  0.64053662,  0.12554303
  0.99884733,  1.01446320,  0.60653591,  1.89493304
  1.03309094,  1.05024145,  0.69963339,  1.66136415
  0.95789569,  1.02223776,  0.63379871,  3.37647602
  1.01546863,  1.02265592,  0.65809866,  0.57617556
  1.01404863,  1.03188206,  0.69337934,  2.04976675
  1.02805458,  1.03537032,  0.64465347,  0.05852036
  1.02438235,  1.03199707,  0.67448848,  0.71695024
  0.97229258,  1.04220514,  0.62058377,  2.41602436
  1.01009693,  1.04563791,  0.66590753,  0.74555298
  1.01784693,  1.04024608,  0.63554811,  0.32015785
  0.99846735,  1.00275457,  0.62411103,  1.45829038
  1.02696397,  1.03294047,  0.62690579,  0.46081431
  0.98793924,  1.01954259,  0.62766798,  1.45939894
  1.00263090,  1.02853464,  0.63126770,  0.73900423
  1.01982957,  1.04698119,  0.64405850,  0.23229348
